Rank	Query#	Scores	Document#	Snippet of text#	Valid ranks count
*********************************************************************************
1	12	0.62	492	prediction of ogiveforebody pressures at angles of attack	952
2	12	0.3	434	contributions of the wing panels to the forces and moments of supersonic wingbody combinations at combined angles	952
3	12	0.27	233	the theoretical wave drag of some bodies of revolution	952
4	12	0.26	57	applicability of the hypersonic similarity rule to pressure distributions which include the effects of rotation for bodies of revolution at zero angle of attack	952
5	12	0.23	1040	on transverse vibrations of thin shallow elastic shells	952
6	12	0.21	124	a summary of the supersonic pressure drag of bodies of revolution	952
7	12	0.21	56	an analysis of the applicability of the hypersonic similarity law to the study of the flow about bodies of revolution at zero angle of attack	952
8	12	0.18	1231	hypersonic flow over an elliptic cone theory and experiment	952
9	12	0.17	373	the generalized expansion method and its application to bodies travelling at high supersonic airspeeds	952
10	12	0.17	232	accuracy of approximate methods for predicting pressure on pointed nonlifting bodies of revolution in supersonic flow	952
*********************************************************************************
1	13	0.39	492	prediction of ogiveforebody pressures at angles of attack	1196
2	13	0.26	122	a simplified approximate method for the calculation of the pressure around conical bodies of arbitrary shape in supersonic and hypersonic flow	1196
3	13	0.25	1083	an investigation of fluid flow in two dimensions	1196
4	13	0.25	1231	hypersonic flow over an elliptic cone theory and experiment	1196
5	13	0.21	248	the application of lighthill formula for numerical calculation of pressure distributions on bodies of revolution at supersonic speed and zero angle of attack	1196
6	13	0.21	354	laminar heattransfer and pressure measurements over bluntnosed cones at large angle of attack	1196
7	13	0.2	1307	laminar heattransfer and pressure measurements at a mach number of 6 on sharp and blunt 15 halfangle cones at angles of attack up to 90	1196
8	13	0.2	443	calculated and measured pressure distributions over the midspan section of the naca 4412 airfoil	1196
9	13	0.19	1115	measurements of aerodynamic forces for various mean angles of attack on an airfoil oscillating in pitch and on two finitespan wings oscillating in bending with emphasis on damping in the stall	1196
10	13	0.19	234	a second order shockexpansion method applicable to bodies of revolution near zero lift	1196
*********************************************************************************
1	15	0.42	21	on heat transfer in slip flow	998
2	15	0.36	326	forstorder slip effects on the compressible laminar boundary layer over a slender body of revolution in axial flow	998
3	15	0.36	306	second approximation to laminar compressible boundary layer on flat plate in slip flow	998
4	15	0.35	22	on slipflow heat transfer to a flat plate	998
5	15	0.34	1215	the effect of slip particularly for highly cooled walls	998
6	15	0.28	102	advantages and limitations of models	998
7	15	0.28	528	firstorder slip effects on the laminar boundary layer over a slender body of revolution with zero pressure gradient	998
8	15	0.24	45	an investigation of separated flows part ii flow in the cavity and heat transfer	998
9	15	0.23	571	heat transfer to flat plate in high temperature rarefied ultrahigh mach number flow	998
10	15	0.23	846	on the vibration of thin cylindrical shells under internal pressure	998
*********************************************************************************
1	18	0.38	493	realgas laminar boundary layer skin friction and heat transfer	553
2	18	0.31	302	approximations for the thermodynamic and transport properties of high temperature air	553
3	18	0.27	949	charts for equilibrium flow properties of air in hypervelocity nozzles	553
4	18	0.2	1009	freeflight measurements of the static and dynamic	553
5	18	0.19	1199	theoretical investigations of a supersonic laminar boundary layer with foreigngas injection	553
6	18	0.19	524	stagnation point heat transfer in partially ionized air	553
7	18	0.18	1098	an experimental investigation of ablating material at low and high enthalpy potentials	553
8	18	0.17	405	tables of thermal properties of gases	553
9	18	0.16	436	heat transfer in planetary atmospheres at supersatellite speeds	553
10	18	0.16	691	calculation procedure for thermodynamic transport and flow properties of the combustion products of a hydrocarbon fuel mixture burned in air with results for ethyleneair and methaneair mixtures	553
*********************************************************************************
1	22	0.56	495	on similar solutions for strong blast waves and their application to steady hypersonic flow	933
2	22	0.34	556	numerical comparison between exact and approximate theories of hypersonic inviscid flow past slender blunt nosed bodies	933
3	22	0.23	1327	on the propagation and structure of the blast wave	933
4	22	0.23	654	on the propagation and structure of the blast wave part 1	933
5	22	0.21	557	a numerical comparison between exact and approximate theories of hypersonic inviscid flow past slender blunt nosed bodies	933
6	22	0.21	738	finding zeros of arbitrary functions	933
7	22	0.2	472	waves in supersonic flow	933
8	22	0.2	1186	lift of slender delta wings according to newtonian theory	933
9	22	0.19	1356	secondary flow fields embedded in hypersonic shock layers	933
10	22	0.16	491	on the close relationship between turbulent planecouette and pressure flows	933
*********************************************************************************
1	23	0.44	941	viscous compressible and incompressible flow in slender channels	1097
2	23	0.26	1221	steady flow of conducting fluids in channels under transverse magnetic fields with consideration of hall effect	1097
3	23	0.25	270	on combined free and forced convection laminar magnetohydrodynamic flow and heat transfer in channels with transverse magnetic field	1097
4	23	0.25	966	on fully developed channel flows some solutions and limitations and effects of compressibility variable properties and body forces	1097
5	23	0.24	1223	inviscidincompressibleflow theory of static twodimensional solid jets in proximity to the ground	1097
6	23	0.21	631	low speed wind tunnel tests on a two dimensional aerofoil with split flap near the ground	1097
7	23	0.21	245	the ground effect on the jet flap in two dimensions	1097
8	23	0.2	704	a systematic kernel function procedure for determining aerodynamic forces on oscillating or steady finite wings at subsonic speeds	1097
9	23	0.2	1094	investigation of the effects of ground proximity and propeller position on the effectiveness of a wing with large chord slotted flaps in redirecting propeller slipstream downward for vertical takeoff	1097
10	23	0.2	624	cruise performance of channelflow ground effect machines	1097
*********************************************************************************
1	26	0.61	496	a theory of transonic aileron buzz neglecting viscous effects	145
2	26	0.25	903	two dimensional transonic unsteady flow with shock waves	145
3	26	0.23	643	an investigation of wingaileron flutter using ground launched rocket models	145
4	26	0.2	199	measurement of two dimensional derivatives on a wingailerontab system	145
5	26	0.16	313	on alternative forms for the basic equations of transonic flow theory	145
6	26	0.13	1268	stable combustion of a highvelocity gas in a heated boundary layer	145
7	26	0.13	38	on the prediction of mixed subsonicsupersonic pressure distributions	145
8	26	0.12	507	energy equation approximations in fluid mechanics	145
9	26	0.12	660	the fundamental solution for small steady three dimensional disturbances to a two dimensional parallel shear flow	145
10	26	0.12	526	leading edge attachment in transonic flow with laminar or turbulent boundary layers	145
*********************************************************************************
1	27	0.46	170	the interaction of a reflected shock wave with the boundary layer in a shock tube	416
2	27	0.36	798	interaction between shock waves and boundary layers with a note on the effects of the interaction of the performance of supersonic intakes	416
3	27	0.35	256	an experimental study of the glancing interaction between a shock wave and a turbulent boundary layer	416
4	27	0.35	1364	an experimental investigation of the interaction between shock waves and boundary layers	416
5	27	0.31	345	the interaction of shock waves with boundary layer on a flat surface	416
6	27	0.3	64	unsteady oblique interaction of a shock wave with plane disturbances	416
7	27	0.3	335	the interaction between boundary layer and shock waves in transonic flow	416
8	27	0.26	973	interaction effects produced by jet exhausting laterally near base of ogivecylinder model in supersonic main stream	416
9	27	0.25	291	sweepback effects in the turbulent boundarylayer shockwave interaction	416
10	27	0.24	540	use of local similarity concepts in hypersonic viscous interaction problems	416
*********************************************************************************
1	29	0.31	462	photothermoelasticity	158
2	29	0.12	1097	experimental ablation cooling	158
3	29	0.12	761	buckling of sandwich under normal pressure	158
4	29	0.12	463	physical properties of plastics for photothermoelastic investigation	158
5	29	0.12	1025	note on creep buckling of columns	158
6	29	0.11	1043	on transverse vibrations of thin shallow elastic shells	158
7	29	0.11	866	regularities in creep and hot fatigue data	158
8	29	0.1	1099	a theoretical study of stagnation point ablation	158
9	29	0.1	1117	stability of orthotropic cylindrical shells under combined loading	158
10	29	0.09	553	ablation of glassy materials around blunt bodies of revolution	158
*********************************************************************************
1	31	0.41	498	calculation of potential flow about bodies of revolution having axes perpendicular to the freestream direction	989
2	31	0.33	106	the transverse potential flow past a body of revolution	989
3	31	0.26	1328	the production of aerodynamic forces by heat addition on external surfaces of aircraft	989
4	31	0.23	248	the application of lighthill formula for numerical calculation of pressure distributions on bodies of revolution at supersonic speed and zero angle of attack	989
5	31	0.22	231	practical calculation of secondorder supersonic flow past nonlifting bodies of revolution	989
6	31	0.22	1255	the flow about a charged body moving in the lower atmosphere	989
7	31	0.21	814	stability derivatives of cones at supersonic speeds	989
8	31	0.21	1301	compressible boundary layers on bodies of revolution	989
9	31	0.17	494	axisymmetric viscous flow plast very slender bodies of revolution	989
10	31	0.17	93	the supersonic blunt body problem review and extensions	989
*********************************************************************************
1	32	0.38	106	the transverse potential flow past a body of revolution	1032
2	32	0.32	498	calculation of potential flow about bodies of revolution having axes perpendicular to the freestream direction	1032
3	32	0.31	1301	compressible boundary layers on bodies of revolution	1032
4	32	0.28	1281	turbulent heat transfer on bluntnosed bodies in twodimensional and general threedimensional hypersonic flow	1032
5	32	0.24	1108	a study of secondorder supersonic flow theory	1032
6	32	0.23	814	stability derivatives of cones at supersonic speeds	1032
7	32	0.22	336	simplified laminar boundary layer calculations for bodies of revolution and for yawed wings	1032
8	32	0.22	700	two and threedimensional unsteady lift problems in high speed flight	1032
9	32	0.2	916	the flow around oscillating low aspect ratio wings at transonic speeds	1032
10	32	0.19	494	axisymmetric viscous flow plast very slender bodies of revolution	1032
*********************************************************************************
1	33	0.51	492	prediction of ogiveforebody pressures at angles of attack	947
2	33	0.47	248	the application of lighthill formula for numerical calculation of pressure distributions on bodies of revolution at supersonic speed and zero angle of attack	947
3	33	0.43	498	calculation of potential flow about bodies of revolution having axes perpendicular to the freestream direction	947
4	33	0.39	197	pressure distributions on three bodies of revolution to determine the effect of reynolds number up to and including the transonic speed range	947
5	33	0.33	1231	hypersonic flow over an elliptic cone theory and experiment	947
6	33	0.33	1301	compressible boundary layers on bodies of revolution	947
7	33	0.32	106	the transverse potential flow past a body of revolution	947
8	33	0.31	354	laminar heattransfer and pressure measurements over bluntnosed cones at large angle of attack	947
9	33	0.29	122	a simplified approximate method for the calculation of the pressure around conical bodies of arbitrary shape in supersonic and hypersonic flow	947
10	33	0.29	231	practical calculation of secondorder supersonic flow past nonlifting bodies of revolution	947
*********************************************************************************
1	34	0.13	554	generalized heat transfer formulas and graphs	1096
2	34	0.13	803	the shock pattern of a wingbody combination far from the flight path	1096
3	34	0.12	303	effect of variable heat recombination on stagnation point heat transfer	1096
4	34	0.12	706	on som reciprocal relations in the theory of nonstationary flows	1096
5	34	0.12	708	aerodynamic characteristics of two winged reentry vehicles at supersonic and hypersonic speeds	1096
6	34	0.11	1279	sublimation in a hypersonic environment	1096
7	34	0.11	660	the fundamental solution for small steady three dimensional disturbances to a two dimensional parallel shear flow	1096
8	34	0.11	987	a general theory of three dimensional flow in subsonic and supersonic turbomachines of axialradialand mixedflow types	1096
9	34	0.1	713	static longitudinal stability characteristics of a blunted glider reentry configuration having 795degree sweepback and 45degree dihedral at a mach number of 62 and angles of attack up to 20degree	1096
10	34	0.1	711	an investigation at subsonic speeds of aerodynamic characteristics at angles of attack from dash 4degrees to 100degrees of a deltawing reentry configuration having folding wingtip panels	1096
*********************************************************************************
1	35	0.48	500	joule heating in magnetohydrodynamic freeconvection flows	1154
2	35	0.21	270	on combined free and forced convection laminar magnetohydrodynamic flow and heat transfer in channels with transverse magnetic field	1154
3	35	0.18	407	stationary convection flow of an electrically conducting liquid between parallel plates in a magnetic field	1154
4	35	0.18	450	some physical interpretations of magnetohydrodynamic duct flows	1154
5	35	0.15	87	freeconvection magnetohydrodynamic flow past a porous flat plate	1154
6	35	0.15	408	on convective motion of a conducting fluid between parallel vertical plates in a magnetic field	1154
7	35	0.15	584	conduction of heat in a solid with a power law of heat transfer at its surface	1154
8	35	0.14	104	similar solutions of a free convection boundary layer equation for an electrically conducting fluid	1154
9	35	0.13	963	a variational principle for convection of heat	1154
10	35	0.13	300	on a particular class of similar solutions of the equations of motion and energy of a viscous fluid	1154
*********************************************************************************
1	39	0.32	502	on squires test of the compressibility transformation	772
2	39	0.28	68	some aspects of airhelium simulation and hypersonic approximations	772
3	39	0.26	16	transformation of the compressible turbulent boundary layer	772
4	39	0.23	628	thermal effects on a transpiration cooled hemisphere	772
5	39	0.23	17	remarks on the eddy viscosity in compressible mixing flows	772
6	39	0.21	377	a turbulent analog of the stewartsonillingworth transformation	772
7	39	0.21	421	analytic study of induced pressure on long bodies of revolution with varying nose bluntness at hypersonic speeds	772
8	39	0.2	1007	freeflight measurements of the static and dynamic	772
9	39	0.19	686	flutter tests of some simple models at a mach number of 7 2 in helium flow	772
10	39	0.18	538	the conpressibility transformation and the turbulent boundary layer equations	772
*********************************************************************************
1	40	0.26	254	boundary layers with suction and injection a review of published work on skin friction	548
2	40	0.25	125	measurements of skin friction of the compressible turbulent boundary layer on a cone with foreign gas injection	548
3	40	0.22	207	laminar boundary layer oscillations and transition on a flat plate	548
4	40	0.21	560	a theoretical study of the effect of upstream transpirationcooling on the heat transfer and skin friction characteristics of a compressible laminar boundary layer	548
5	40	0.21	120	measurement of convective heat transfer by means of the reynolds analogy	548
6	40	0.21	140	the determination of turbulent skin friction by means of pitot tubes	548
7	40	0.2	346	measurements of turbulent friction on a smooth flat plate in supersonic	548
8	40	0.2	153	on the steady motion of viscous incompressible fluids with particular reference to a variation principle	548
9	40	0.18	413	turbulent skin friction at high mach numbers and reynolds numbers in air and helium nasa r82 1960	548
10	40	0.18	1147	heat transfer to bodies traveling at high speed in the upper atmosphere	548
*********************************************************************************
1	41	0.35	892	research on unsteady flow	506
2	41	0.32	899	aerodynamic effects on boundary layer unsteadiness	506
3	41	0.25	1109	unsteady laminar compressible boundary layers on an infinite plate with suction or injection	506
4	41	0.21	1259	secondorder theory for unsteady supersonic flow past slender pointed bodies of revolution	506
5	41	0.19	586	an approximate treatment of unsteady heat conduction in semiinfinite solids with variable thermal properties	506
6	41	0.18	903	two dimensional transonic unsteady flow with shock waves	506
7	41	0.17	777	a technique for rendering approximate solutions to physical problems uniformly valid	506
8	41	0.15	116	the elliptic cylinder in a shear flow with hyperbolic velocity profile	506
9	41	0.15	530	an aerodynamic analysis for flutter in oseentype viscous flow	506
10	41	0.15	902	some current and proposed investigations into the flow for slender delta and other wings in unsteady motion	506
*********************************************************************************
1	49	0.35	46	some comments on the inversion of certain large matrices	591
2	49	0.3	756	further comments on the inversion of large structural matrices	591
3	49	0.26	612	pressure distributions and flow patterns at m4 on some delta wings of inverted v cross section	591
4	49	0.16	833	a simple method of matric structural analysis part iv nonlinear problems	591
5	49	0.15	1034	note on creep buckling of columns	591
6	49	0.15	12	some structural and aerelastic considerations of high speed flight	591
7	49	0.15	47	analysis of lowaspectratio aircraft structures	591
8	49	0.13	834	limit design for economical missile structures	591
9	49	0.11	51	theory of aircraft structural models subjected to aerodynamic heating and external loads	591
10	49	0.11	1361	large deflections of structures subjected to heating and external loads	591
*********************************************************************************
1	50	0.41	277	study of flow conditions and deflection angle at exit of twodimensional cascade of turbine rotor blades at critical and supercritical pressure ratios	980
2	50	0.35	214	on the testing of supersonic compressor cascades	980
3	50	0.23	772	an experimental study of jetflap compressor blades	980
4	50	0.22	990	a rapid approximate method for determining velocity distribution on impeller blades of centrifugal compressors	980
5	50	0.2	215	the test performance of highly loaded turbine stages designed for high pressure ratio	980
6	50	0.19	987	a general theory of three dimensional flow in subsonic and supersonic turbomachines of axialradialand mixedflow types	980
7	50	0.16	216	the supersonic axial flow compressor	980
8	50	0.14	945	method for design of pump impellers using a high speed digital computer	980
9	50	0.14	540	use of local similarity concepts in hypersonic viscous interaction problems	980
10	50	0.14	134	note on an interaction between the boundary layer and the inviscid flow	980
*********************************************************************************
1	51	0.44	382	a note on the laminar boundary layer on a circular cylinder in axial incompressible flow	1129
2	51	0.37	307	an approximate solution of hypersonic laminar boundary layer equations and its application	1129
3	51	0.35	145	skin friction in the laminar boundary layer in compressible flow	1129
4	51	0.31	4	approximate solutions of the incompressible laminar boundary layer equations for a plate in shear flow	1129
5	51	0.28	568	shock wave effects on the laminar skin friction of an insulated flat plate at hypersonic speeds	1129
6	51	0.27	611	an approximate solution of the compressible laminar boundary layer on a flat plate	1129
7	51	0.27	348	turbulent boundary layer in compressible fluids	1129
8	51	0.26	736	the bending of a wedge shaped plate	1129
9	51	0.24	148	on displacement thickness	1129
10	51	0.24	1076	an approximate method for determining the displacement effects and viscous drag of laminar boundary layers in twodimensional hypersonic flow	1129
*********************************************************************************
1	52	0.34	1031	note on creep buckling of columns	834
2	52	0.23	680	generalized conical flow fields in supersonic wing theory	834
3	52	0.22	512	quasicylindrical surfaces with prescribed thickness distributions	834
4	52	0.21	1293	design of stiffened cylinders in axial compression	834
5	52	0.17	1176	bending tests of ringstiffened circular cylinders	834
6	52	0.17	1035	note on creep buckling of columns	834
7	52	0.15	189	experimental investigation of base pressure on blunttrailingedge wings of supersonic velocities	834
8	52	0.15	224	quasicylindrical surfaces with prescribed loadings in the linearised theory of supersonic flow	834
9	52	0.15	247	the calculation of the pressure distribution on thick wings of small aspect ratio at zero lift in subsonic flow	834
10	52	0.14	920	supersonic flow over an inclined wing of zero aspect ratio	834
*********************************************************************************
1	53	0.25	1051	the stability of thinwalled unstiffened circular cylinders under axial compression including the effects of internal pressure	832
2	53	0.23	762	allowable axial loads and bending moments for inelastic structures under nonuniform temperature distribution	832
3	53	0.22	920	supersonic flow over an inclined wing of zero aspect ratio	832
4	53	0.22	1050	compressive buckling of simply supported curved plates and cylinders of sandwich construction	832
5	53	0.21	680	generalized conical flow fields in supersonic wing theory	832
6	53	0.2	921	slenderbody theoryreview and extension	832
7	53	0.19	674	the shapes and liftdependent drags on some sweptback wings designed for m 1 2	832
8	53	0.18	683	the use of conical camber to produce flow attachment at the leading edge of a delta wing and to minimize the liftdependent drag at sonic and supersonic speeds	832
9	53	0.18	698	the unsteady lift of a wing of finite aspect ratio	832
10	53	0.18	247	the calculation of the pressure distribution on thick wings of small aspect ratio at zero lift in subsonic flow	832
*********************************************************************************
1	54	0.5	465	slender delta wings with sharp edges at zero lift	1145
2	54	0.41	250	pressure distributions at zero lift for delta wings with rhombic cross sections	1145
3	54	0.4	420	an experimental study of the flow field about swept and delta wings with sharp leading edges	1145
4	54	0.35	900	some measurements in the vortex flow generated by a sharp leading edge having 65 sweep	1145
5	54	0.35	612	pressure distributions and flow patterns at m4 on some delta wings of inverted v cross section	1145
6	54	0.29	683	the use of conical camber to produce flow attachment at the leading edge of a delta wing and to minimize the liftdependent drag at sonic and supersonic speeds	1145
7	54	0.29	222	the flow over delta wings at low speeds with leading edge separation	1145
8	54	0.27	211	effect of slight blunting of leading edge of an immersed body on the flow around it at hypersonic speed	1145
9	54	0.27	601	calculation of the flow past slender delta wings with leading edge separation	1145
10	54	0.26	513	pressure measurements at supersonic speeds on three uncambered conical wings of unit aspect ratio	1145
*********************************************************************************
1	55	0.25	602	the 7 x 7 in hypersonic wind tunnel at rae farnborough part 1 design instrumentation and flow visualization techniques	937
2	55	0.25	633	an extension of the method of generalised conical flows for lifting wings in supersonic flow	937
3	55	0.19	513	pressure measurements at supersonic speeds on three uncambered conical wings of unit aspect ratio	937
4	55	0.19	1058	the conical disk spring	937
5	55	0.19	683	the use of conical camber to produce flow attachment at the leading edge of a delta wing and to minimize the liftdependent drag at sonic and supersonic speeds	937
6	55	0.19	1070	buckling of orthotropic and stiffened conical shells	937
7	55	0.18	222	the flow over delta wings at low speeds with leading edge separation	937
8	55	0.17	19	an investigation of the pressure distribution on conical bodies in hypersonic flows	937
9	55	0.16	688	tables of aerodynamic coefficients obtained from developed newtonian expressions for complete and partial conic and spheric bodies at combined angles of attack and sideslip with some comparisons with hypersonic experimental data	937
10	55	0.15	601	calculation of the flow past slender delta wings with leading edge separation	937
*********************************************************************************
1	56	0.36	751	a note on the use of end plates to prevent three dimensional flow at the ends of bluff cylinders	1134
2	56	0.19	68	some aspects of airhelium simulation and hypersonic approximations	1134
3	56	0.14	247	the calculation of the pressure distribution on thick wings of small aspect ratio at zero lift in subsonic flow	1134
4	56	0.14	918	on the low aspect ratio oscillating rectangular wing in supersonic flow	1134
5	56	0.13	551	analysis of a loaded cantilever plate by finite difference methods	1134
6	56	0.13	228	navierstokes solutions at large distances from a finite body	1134
7	56	0.13	1153	a study of the simulation of flow with free stream mach number 1 in a choked wind tunnel	1134
8	56	0.13	1082	the flow past pitot tube at low reynolds numbers part 1dash the numerical solution of the navierstokes equations for steady viscous axisymmetric flow part 2dash the effects of viscosity and orifice size on a pitot tube at low reynolds numbers	1134
9	56	0.12	916	the flow around oscillating low aspect ratio wings at transonic speeds	1134
10	56	0.12	698	the unsteady lift of a wing of finite aspect ratio	1134
*********************************************************************************
1	57	0.72	752	slender notsothin wing theory	815
2	57	0.2	738	finding zeros of arbitrary functions	815
3	57	0.19	382	a note on the laminar boundary layer on a circular cylinder in axial incompressible flow	815
4	57	0.15	1259	secondorder theory for unsteady supersonic flow past slender pointed bodies of revolution	815
5	57	0.15	491	on the close relationship between turbulent planecouette and pressure flows	815
6	57	0.13	472	waves in supersonic flow	815
7	57	0.13	192	on the hypersonic viscous flow past slender bodies of revolution	815
8	57	0.12	242	an approximate theory of base pressure in two dimensional flow at supersonic speeds	815
9	57	0.12	802	the behaviour of supersonic flow past a body of revolution far from the axis	815
10	57	0.12	1186	lift of slender delta wings according to newtonian theory	815
*********************************************************************************
1	58	0.38	516	freeflight measurements of the dynamic longitudinal stability characteristics of a wind tunnel interference model m0 92 to 1 35	857
2	58	0.34	431	freeflight measurements of the zerolift drag and base pressure on a wind tunnel interference model m0 8 1 5	857
3	58	0.34	141	freeflight techniques for high speed aerodynamic research	857
4	58	0.29	594	wind tunnel techniques for the measurements of oscillatory derivatives	857
5	58	0.24	1155	some experimental investigations on the influence of wall boundary layers upon wind tunnel measurements at high subsonic speeds	857
6	58	0.24	1153	a study of the simulation of flow with free stream mach number 1 in a choked wind tunnel	857
7	58	0.23	598	new test techniques for a hypervelocity wind tunnel	857
8	58	0.22	713	static longitudinal stability characteristics of a blunted glider reentry configuration having 795degree sweepback and 45degree dihedral at a mach number of 62 and angles of attack up to 20degree	857
9	58	0.22	876	on flutter testing in high speed wind tunnels	857
10	58	0.18	184	scale models for thermoaeroelastic research	857
*********************************************************************************
1	59	0.35	1153	a study of the simulation of flow with free stream mach number 1 in a choked wind tunnel	780
2	59	0.35	610	corner interference effects	780
3	59	0.27	516	freeflight measurements of the dynamic longitudinal stability characteristics of a wind tunnel interference model m0 92 to 1 35	780
4	59	0.26	431	freeflight measurements of the zerolift drag and base pressure on a wind tunnel interference model m0 8 1 5	780
5	59	0.26	252	an investigation of interference effects on similar models of different size in various transonic tunnels in the uk	780
6	59	0.25	594	wind tunnel techniques for the measurements of oscillatory derivatives	780
7	59	0.24	795	the operation of the npl 18in x 14in wind tunnel in the transonic speed range	780
8	59	0.22	672	tunnel interference effects	780
9	59	0.21	799	some effects of windtunnel interference observed in tests on twodimensional aerofoils at high subsonic and transonic speeds	780
10	59	0.2	280	the surface oil flow technique as used in high speed wind tunnels in the united kingdom	780
*********************************************************************************
1	61	0.27	724	structural acoustic proof testing	427
2	61	0.26	1244	on the aerodynamic noise of a turbulent jet	427
3	61	0.22	1208	a linearized analysis of the forces exerted on a rigid wing by a shock wave	427
4	61	0.19	1203	the propagation of a nonuniform magnetohydrodynamic shock wave into a moving monatomic fluid	427
5	61	0.18	75	studies of structural failure due to acoustic loading	427
6	61	0.16	1327	on the propagation and structure of the blast wave	427
7	61	0.16	65	convection of a pattern of vorticity through a shock wave	427
8	61	0.15	1276	a threedimensional linearized analysis of the forces exerted on a rigid wing by a shock wave	427
9	61	0.15	1389	numerical construction of detached shock waves	427
10	61	0.15	654	on the propagation and structure of the blast wave part 1	427
*********************************************************************************
1	62	0.21	168	heat conduction through a gas with one inert internal model	885
2	62	0.2	281	higher order approximations for relaxation oscillations	885
3	62	0.17	123	the downstream influence of mass transfer at the nose of a slender cone	885
4	62	0.15	398	heat transfer in turbulent shear flow	885
5	62	0.15	666	blunt body heat transfer at hypersonic speed and low reynolds numbers	885
6	62	0.15	319	propagation of weak disturbances in a gas subject to relaxation effects	885
7	62	0.14	518	heat conduction through a polyatomic gas	885
8	62	0.13	1086	a note on the numerical solution of fourth order differential equations	885
